Lower layer Super Output Areas Code,Lower layer Super Output Areas,Tenure of household (9 categories) Code,Tenure of household (9 categories),Observation
E01026414,West Lindsey 008D,3,Social rented: Rents from council or Local Authority,6
E01026414,West Lindsey 008D,4,Social rented: Other social rented,33
E01026414,West Lindsey 008D,5,Private rented: Private landlord or letting agency,129
E01026414,West Lindsey 008D,6,Private rented: Other private rented,27
E01026414,West Lindsey 008D,7,Lives rent free,0
E01026415,West Lindsey 003E,-8,Does not apply,0
E01026415,West Lindsey 003E,0,Owned: Owns outright,190
E01026415,West Lindsey 003E,1,Owned: Owns with a mortgage or loan,129
E01026415,West Lindsey 003E,2,Shared ownership: Shared ownership,3
E01026415,West Lindsey 003E,3,Social rented: Rents from council or Local Authority,3
E01026415,West Lindsey 003E,4,Social rented: Other social rented,9
E01026415,West Lindsey 003E,5,Private rented: Private landlord or letting agency,138
E01026415,West Lindsey 003E,6,Private rented: Other private rented,22
E01026415,West Lindsey 003E,7,Lives rent free,0
E01026416,West Lindsey 001D,-8,Does not apply,0
E01026416,West Lindsey 001D,0,Owned: Owns outright,221
E01026416,West Lindsey 001D,1,Owned: Owns with a mortgage or loan,129
E01026416,West Lindsey 001D,2,Shared ownership: Shared ownership,8
E01026416,West Lindsey 001D,3,Social rented: Rents from council or Local Authority,20
E01026416,West Lindsey 001D,4,Social rented: Other social rented,62
E01026416,West Lindsey 001D,5,Private rented: Private landlord or letting agency,114
E01026416,West Lindsey 001D,6,Private rented: Other private rented,17
E01026416,West Lindsey 001D,7,Lives rent free,0
E01032683,West Lindsey 001G,-8,Does not apply,0
E01032683,West Lindsey 001G,0,Owned: Owns outright,488
E01032683,West Lindsey 001G,1,Owned: Owns with a mortgage or loan,282
E01032683,West Lindsey 001G,2,Shared ownership: Shared ownership,5
E01032683,West Lindsey 001G,3,Social rented: Rents from council or Local Authority,13
E01032683,West Lindsey 001G,4,Social rented: Other social rented,74
E01032683,West Lindsey 001G,5,Private rented: Private landlord or letting agency,140
E01032683,West Lindsey 001G,6,Private rented: Other private rented,28
E01032683,West Lindsey 001G,7,Lives rent free,1
E01032986,East Lindsey 004D,-8,Does not apply,0
E01032986,East Lindsey 004D,0,Owned: Owns outright,192
E01032986,East Lindsey 004D,1,Owned: Owns with a mortgage or loan,102
E01032986,East Lindsey 004D,2,Shared ownership: Shared ownership,1
E01032986,East Lindsey 004D,3,Social rented: Rents from council or Local Authority,14
E01032986,East Lindsey 004D,4,Social rented: Other social rented,60
E01032986,East Lindsey 004D,5,Private rented: Private landlord or letting agency,218
E01032986,East Lindsey 004D,6,Private rented: Other private rented,8
E01032986,East Lindsey 004D,7,Lives rent free,0
E01032987,East Lindsey 004E,-8,Does not apply,0
E01032987,East Lindsey 004E,0,Owned: Owns outright,212
E01032987,East Lindsey 004E,1,Owned: Owns with a mortgage or loan,178
E01032987,East Lindsey 004E,2,Shared ownership: Shared ownership,22
E01032987,East Lindsey 004E,3,Social rented: Rents from council or Local Authority,19
E01032987,East Lindsey 004E,4,Social rented: Other social rented,73
E01032987,East Lindsey 004E,5,Private rented: Private landlord or letting agency,184
E01032987,East Lindsey 004E,6,Private rented: Other private rented,16
E01032987,East Lindsey 004E,7,Lives rent free,0
E01032988,North Kesteven 013B,-8,Does not apply,0
E01032988,North Kesteven 013B,0,Owned: Owns outright,160
E01032988,North Kesteven 013B,1,Owned: Owns with a mortgage or loan,297
E01032988,North Kesteven 013B,2,Shared ownership: Shared ownership,18
E01032988,North Kesteven 013B,3,Social rented: Rents from council or Local Authority,90
E01032988,North Kesteven 013B,4,Social rented: Other social rented,85
E01032988,North Kesteven 013B,5,Private rented: Private landlord or letting agency,134
E01032988,North Kesteven 013B,6,Private rented: Other private rented,11
E01032988,North Kesteven 013B,7,Lives rent free,2
E01032989,North Kesteven 013C,-8,Does not apply,0
E01032989,North Kesteven 013C,0,Owned: Owns outright,86
E01032989,North Kesteven 013C,1,Owned: Owns with a mortgage or loan,468
E01032989,North Kesteven 013C,2,Shared ownership: Shared ownership,16
E01032989,North Kesteven 013C,3,Social rented: Rents from council or Local Authority,11
E01032989,North Kesteven 013C,4,Social rented: Other social rented,58
E01032989,North Kesteven 013C,5,Private rented: Private landlord or letting agency,164
E01032989,North Kesteven 013C,6,Private rented: Other private rented,10
E01032989,North Kesteven 013C,7,Lives rent free,0
E01032991,North Kesteven 014E,-8,Does not apply,0
E01032991,North Kesteven 014E,0,Owned: Owns outright,297
E01032991,North Kesteven 014E,1,Owned: Owns with a mortgage or loan,443
E01032991,North Kesteven 014E,2,Shared ownership: Shared ownership,9
E01032991,North Kesteven 014E,3,Social rented: Rents from council or Local Authority,33
E01032991,North Kesteven 014E,4,Social rented: Other social rented,18
E01032991,North Kesteven 014E,5,Private rented: Private landlord or letting agency,118
E01032991,North Kesteven 014E,6,Private rented: Other private rented,21
E01032991,North Kesteven 014E,7,Lives rent free,0
E01032992,North Kesteven 014F,-8,Does not apply,0
E01032992,North Kesteven 014F,0,Owned: Owns outright,287
E01032992,North Kesteven 014F,1,Owned: Owns with a mortgage or loan,203
E01032992,North Kesteven 014F,2,Shared ownership: Shared ownership,8
E01032992,North Kesteven 014F,3,Social rented: Rents from council or Local Authority,49
E01032992,North Kesteven 014F,4,Social rented: Other social rented,14
E01032992,North Kesteven 014F,5,Private rented: Private landlord or letting agency,110
E01032992,North Kesteven 014F,6,Private rented: Other private rented,12
E01032992,North Kesteven 014F,7,Lives rent free,0
E01032993,North Kesteven 013D,-8,Does not apply,0
E01032993,North Kesteven 013D,0,Owned: Owns outright,405
E01032993,North Kesteven 013D,1,Owned: Owns with a mortgage or loan,469
E01032993,North Kesteven 013D,2,Shared ownership: Shared ownership,0
E01032993,North Kesteven 013D,3,Social rented: Rents from council or Local Authority,6
E01032993,North Kesteven 013D,4,Social rented: Other social rented,13
E01032993,North Kesteven 013D,5,Private rented: Private landlord or letting agency,122
E01032993,North Kesteven 013D,6,Private rented: Other private rented,33
E01032993,North Kesteven 013D,7,Lives rent free,0
E01032994,North Kesteven 003H,-8,Does not apply,0
E01032994,North Kesteven 003H,0,Owned: Owns outright,233
E01032994,North Kesteven 003H,1,Owned: Owns with a mortgage or loan,236
E01032994,North Kesteven 003H,2,Shared ownership: Shared ownership,36
E01032994,North Kesteven 003H,3,Social rented: Rents from council or Local Authority,18
E01032994,North Kesteven 003H,4,Social rented: Other social rented,36
E01032994,North Kesteven 003H,5,Private rented: Private landlord or letting agency,86
E01032994,North Kesteven 003H,6,Private rented: Other private rented,23
E01032994,North Kesteven 003H,7,Lives rent free,0
E01032995,South Holland 006F,-8,Does not apply,0
E01032995,South Holland 006F,0,Owned: Owns outright,165
E01032995,South Holland 006F,1,Owned: Owns with a mortgage or loan,91
E01032995,South Holland 006F,2,Shared ownership: Shared ownership,9
E01032995,South Holland 006F,3,Social rented: Rents from council or Local Authority,67
E01032995,South Holland 006F,4,Social rented: Other social rented,48
E01032995,South Holland 006F,5,Private rented: Private landlord or letting agency,324
E01032995,South Holland 006F,6,Private rented: Other private rented,23
E01032995,South Holland 006F,7,Lives rent free,3
E01032996,South Holland 006G,-8,Does not apply,0
E01032996,South Holland 006G,0,Owned: Owns outright,278
E01032996,South Holland 006G,1,Owned: Owns with a mortgage or loan,180
E01032996,South Holland 006G,2,Shared ownership: Shared ownership,2
E01032996,South Holland 006G,3,Social rented: Rents from council or Local Authority,32
E01032996,South Holland 006G,4,Social rented: Other social rented,10
E01032996,South Holland 006G,5,Private rented: Private landlord or letting agency,59
E01032996,South Holland 006G,6,Private rented: Other private rented,7
E01032996,South Holland 006G,7,Lives rent free,0
E01032997,South Kesteven 011E,-8,Does not apply,0
E01032997,South Kesteven 011E,0,Owned: Owns outright,101
E01032997,South Kesteven 011E,1,Owned: Owns with a mortgage or loan,192
E01032997,South Kesteven 011E,2,Shared ownership: Shared ownership,46
E01032997,South Kesteven 011E,3,Social rented: Rents from council or Local Authority,8
E01032997,South Kesteven 011E,4,Social rented: Other social rented,48
E01032997,South Kesteven 011E,5,Private rented: Private landlord or letting agency,91
E01032997,South Kesteven 011E,6,Private rented: Other private rented,5
E01032997,South Kesteven 011E,7,Lives rent free,0
E01032998,South Kesteven 011F,-8,Does not apply,0
E01032998,South Kesteven 011F,0,Owned: Owns outright,125
E01032998,South Kesteven 011F,1,Owned: Owns with a mortgage or loan,344
E01032998,South Kesteven 011F,2,Shared ownership: Shared ownership,20
E01032998,South Kesteven 011F,3,Social rented: Rents from council or Local Authority,8
E01032998,South Kesteven 011F,4,Social rented: Other social rented,44
E01032998,South Kesteven 011F,5,Private rented: Private landlord or letting agency,189
E01032998,South Kesteven 011F,6,Private rented: Other private rented,10
E01032998,South Kesteven 011F,7,Lives rent free,0
E01032999,South Kesteven 011G,-8,Does not apply,0
E01032999,South Kesteven 011G,0,Owned: Owns outright,259
E01032999,South Kesteven 011G,1,Owned: Owns with a mortgage or loan,172
E01032999,South Kesteven 011G,2,Shared ownership: Shared ownership,5
E01032999,South Kesteven 011G,3,Social rented: Rents from council or Local Authority,13
E01032999,South Kesteven 011G,4,Social rented: Other social rented,12
E01032999,South Kesteven 011G,5,Private rented: Private landlord or letting agency,96
E01032999,South Kesteven 011G,6,Private rented: Other private rented,8
E01032999,South Kesteven 011G,7,Lives rent free,1
E01034679,Boston 002F,-8,Does not apply,0
E01034679,Boston 002F,0,Owned: Owns outright,143
E01034679,Boston 002F,1,Owned: Owns with a mortgage or loan,147
E01034679,Boston 002F,2,Shared ownership: Shared ownership,2
E01034679,Boston 002F,3,Social rented: Rents from council or Local Authority,28
E01034679,Boston 002F,4,Social rented: Other social rented,28
E01034679,Boston 002F,5,Private rented: Private landlord or letting agency,188
E01034679,Boston 002F,6,Private rented: Other private rented,14
E01034679,Boston 002F,7,Lives rent free,0
E01034680,Boston 002G,-8,Does not apply,0
E01034680,Boston 002G,0,Owned: Owns outright,60
E01034680,Boston 002G,1,Owned: Owns with a mortgage or loan,85
E01034680,Boston 002G,2,Shared ownership: Shared ownership,0
E01034680,Boston 002G,3,Social rented: Rents from council or Local Authority,153
E01034680,Boston 002G,4,Social rented: Other social rented,124
E01034680,Boston 002G,5,Private rented: Private landlord or letting agency,130
E01034680,Boston 002G,6,Private rented: Other private rented,12
E01034680,Boston 002G,7,Lives rent free,1
E01034681,Boston 003E,-8,Does not apply,0
E01034681,Boston 003E,0,Owned: Owns outright,81
E01034681,Boston 003E,1,Owned: Owns with a mortgage or loan,62
E01034681,Boston 003E,2,Shared ownership: Shared ownership,9
E01034681,Boston 003E,3,Social rented: Rents from council or Local Authority,39
E01034681,Boston 003E,4,Social rented: Other social rented,104
E01034681,Boston 003E,5,Private rented: Private landlord or letting agency,295
E01034681,Boston 003E,6,Private rented: Other private rented,10
E01034681,Boston 003E,7,Lives rent free,0
E01034682,Boston 003F,-8,Does not apply,0
E01034682,Boston 003F,0,Owned: Owns outright,84
E01034682,Boston 003F,1,Owned: Owns with a mortgage or loan,117
E01034682,Boston 003F,2,Shared ownership: Shared ownership,5
E01034682,Boston 003F,3,Social rented: Rents from council or Local Authority,39
E01034682,Boston 003F,4,Social rented: Other social rented,60
E01034682,Boston 003F,5,Private rented: Private landlord or letting agency,318
E01034682,Boston 003F,6,Private rented: Other private rented,32
E01034682,Boston 003F,7,Lives rent free,1
E01034683,Boston 009E,-8,Does not apply,0
E01034683,Boston 009E,0,Owned: Owns outright,216
E01034683,Boston 009E,1,Owned: Owns with a mortgage or loan,203
E01034683,Boston 009E,2,Shared ownership: Shared ownership,7
E01034683,Boston 009E,3,Social rented: Rents from council or Local Authority,8
E01034683,Boston 009E,4,Social rented: Other social rented,19
E01034683,Boston 009E,5,Private rented: Private landlord or letting agency,112
E01034683,Boston 009E,6,Private rented: Other private rented,15
E01034683,Boston 009E,7,Lives rent free,0
E01034684,Boston 009F,-8,Does not apply,0
E01034684,Boston 009F,0,Owned: Owns outright,139
E01034684,Boston 009F,1,Owned: Owns with a mortgage or loan,226
E01034684,Boston 009F,2,Shared ownership: Shared ownership,12
E01034684,Boston 009F,3,Social rented: Rents from council or Local Authority,15
E01034684,Boston 009F,4,Social rented: Other social rented,37
E01034684,Boston 009F,5,Private rented: Private landlord or letting agency,122
E01034684,Boston 009F,6,Private rented: Other private rented,10
E01034684,Boston 009F,7,Lives rent free,0
E01034685,East Lindsey 012E,-8,Does not apply,0
E01034685,East Lindsey 012E,0,Owned: Owns outright,462
E01034685,East Lindsey 012E,1,Owned: Owns with a mortgage or loan,87
E01034685,East Lindsey 012E,2,Shared ownership: Shared ownership,4
E01034685,East Lindsey 012E,3,Social rented: Rents from council or Local Authority,2
E01034685,East Lindsey 012E,4,Social rented: Other social rented,12
E01034685,East Lindsey 012E,5,Private rented: Private landlord or letting agency,66
E01034685,East Lindsey 012E,6,Private rented: Other private rented,8
E01034685,East Lindsey 012E,7,Lives rent free,0
E01034686,East Lindsey 012F,-8,Does not apply,0
E01034686,East Lindsey 012F,0,Owned: Owns outright,216
E01034686,East Lindsey 012F,1,Owned: Owns with a mortgage or loan,201
E01034686,East Lindsey 012F,2,Shared ownership: Shared ownership,13
E01034686,East Lindsey 012F,3,Social rented: Rents from council or Local Authority,7
E01034686,East Lindsey 012F,4,Social rented: Other social rented,30
E01034686,East Lindsey 012F,5,Private rented: Private landlord or letting agency,260
E01034686,East Lindsey 012F,6,Private rented: Other private rented,17
E01034686,East Lindsey 012F,7,Lives rent free,1
E01034687,Lincoln 005E,-8,Does not apply,0
E01034687,Lincoln 005E,0,Owned: Owns outright,92
E01034687,Lincoln 005E,1,Owned: Owns with a mortgage or loan,85
E01034687,Lincoln 005E,2,Shared ownership: Shared ownership,1
E01034687,Lincoln 005E,3,Social rented: Rents from council or Local Authority,5
